Sample ID,Ci,A,Qin,Tleaf
5,142.2540143766894,17.504418999120652,1999.9925,24.801175
5,142.1847995365416,17.593467030726075,1999.9925,24.801025
5,142.54726027675795,17.352435583426242,2000.00333333333,24.8167333333333
5,143.22265673740807,17.32976227652197,1999.985,24.812325
5,145.1387885362635,17.443420332358645,2000.00666666667,24.7981
5,147.10161871252947,17.73224117021984,2000.0125,24.80265
5,151.43593075969972,18.032071062955115,1999.97333333333,24.795
5,154.61269791515795,18.60621669176996,1999.985,24.79145
5,160.93054795641962,18.981229195726442,1999.99666666667,24.7881333333333
5,164.91255482641407,19.74966881828269,1999.9925,24.7814
5,171.76271275172877,20.541454764366154,1999.98666666667,24.7945333333333
5,176.39750657034284,21.353554179611397,1999.995,24.779225
5,183.8769887973496,22.325363953597716,1999.99,24.7870333333333
5,189.2251933250309,23.04538182744789,2000.0,24.776225
5,197.40433503081755,23.875620930470756,1999.98333333333,24.7747666666667
5,203.41397344074326,24.283394354411275,1999.98,24.778875
5,210.778334461005,25.66670101770933,1999.98333333333,24.7864333333333
5,216.54183950852584,26.378615182327692,1999.985,24.77915
5,225.19163517490236,27.30992694742711,1999.99,24.7593666666667
5,230.9198459983094,27.995734819788648,1999.9775,24.774125
5,238.70495227797332,29.3544826370275,1999.98666666667,24.7871
5,244.91818652696048,29.828537841257152,1999.98,24.793275
5,253.79528198731026,30.744908374001845,1999.97,24.7806666666667
5,259.93809861507316,31.318714852718983,1999.9925,24.7824
5,267.5805620197331,32.71003831913524,1999.97333333333,24.7908666666667
5,273.8454976805885,33.18852263066681,1999.985,24.797475
5,283.06542811264956,34.008918108999445,2000.0,24.7756333333333
5,288.8210016476488,34.75692876606164,1999.98,24.7948
5,297.88466476472007,35.56623769008582,1999.98666666667,24.7968333333333
5,304.3956897437451,35.98113893432044,1999.9875,24.791475
5,312.26452644404344,37.468441875125414,1999.99,24.8012666666667
5,318.6852110145468,37.781873927530405,1999.9925,24.805675
5,327.4935610752429,38.46952796576324,2000.01666666667,24.7725666666667
5,332.8398279929724,39.18244545180998,1999.97,24.782625
5,342.0413663415001,39.454845737283605,1999.97,24.8014
5,347.92661233576354,40.23763766679157,1999.9825,24.794275
5,357.0448661731299,41.046788388741845,1999.97333333333,24.7863666666667
5,363.8116451358268,41.196300704944264,1999.9775,24.796225
5,373.6701730012054,41.63845473987592,1999.97666666667,24.7855
5,379.28474732946114,42.57284407366316,1999.9825,24.79005
5,389.6179692305945,42.60617432875007,1999.99666666667,24.8069
5,395.35552940208953,43.437902714597705,1999.9825,24.812975
5,406.15450555832905,43.47919001306697,1999.98333333333,24.8071333333333
5,411.8522241401169,44.35255566568708,1999.9775,24.80595
5,423.1268630845762,44.31997277156564,1999.96,24.8111
5,429.2243619595257,45.06140450443317,1999.9825,24.811425
5,438.67804615003456,45.96375646781532,1999.99333333333,24.8016666666667
5,447.0911869251674,45.40908637097117,2000.0125,24.81025
5,456.46605824419476,46.34268963456156,1999.96,24.8244
5,462.9839584267184,46.8238777628033,1999.985,24.831825
5,474.4885363293484,46.55787654761572,1999.97,24.8242333333333
5,480.65599400941767,47.290381253753644,1999.99,24.83625
5,491.5024194181162,47.36192426179784,1999.98333333333,24.8385666666667
5,498.7047859119707,47.67114080502927,2000.0075,24.82355
5,509.6991338328654,47.81167973656661,1999.98333333333,24.8192333333333
5,516.2035649753362,48.277834197746685,1999.9925,24.836075
5,526.9785942146318,48.5400473453118,1999.97333333333,24.8358666666667
5,534.7979549388626,48.400937361602175,1999.9925,24.83325
5,546.0366406548459,48.54313431899549,1999.99666666667,24.8329333333333
5,553.9712423866455,48.53764059905107,1999.9725,24.832375
5,563.4929162998336,49.17999434292726,1999.99,24.839
5,571.4396930841311,49.04797614751987,1999.9725,24.82415
5,582.7126623273934,49.211088769595015,1999.99,24.8406
